['Step', 'FENEBond', 'AngleForce', 'RepulsiveSoftCore', 'CustomTypes', 'CustomIC', 'pulling', 'pin', 'slide']
500,nan,1075.618,22.546,-0.540,-3.818,nan,nan,nan
1000,nan,1114.054,7.147,-0.120,-1.686,nan,nan,nan
1500,nan,1135.763,0.000,-0.017,-0.303,nan,nan,nan
2000,nan,1139.367,0.000,0.000,0.000,nan,nan,nan
2500,nan,1133.211,0.000,0.000,0.000,nan,nan,nan
3000,nan,1137.900,0.000,-0.005,-0.081,nan,nan,nan
3500,nan,1136.635,0.000,0.000,0.000,nan,nan,nan
4000,nan,1135.193,0.000,0.000,0.000,nan,nan,nan
4500,nan,1133.115,0.000,0.000,0.000,nan,nan,nan
5000,nan,1133.248,0.000,0.000,0.000,nan,nan,nan
5500,nan,1132.993,0.000,0.000,0.000,nan,nan,nan
6000,nan,1132.910,0.000,-0.002,-0.039,nan,nan,nan
6500,nan,1130.397,0.000,0.000,0.000,nan,nan,nan
7000,nan,1127.407,0.000,0.000,0.000,nan,nan,nan
7500,nan,1125.612,0.000,0.000,0.000,nan,nan,nan
8000,nan,1126.875,0.000,-0.010,0.000,nan,nan,nan
8500,nan,1127.775,0.000,0.000,0.000,nan,nan,nan
9000,nan,1127.444,0.000,0.000,0.000,nan,nan,nan
9500,nan,1126.874,0.000,0.000,0.000,nan,nan,nan
10000,nan,1124.667,0.000,0.000,0.000,nan,nan,nan
10500,nan,1124.420,0.000,0.000,0.000,nan,nan,nan
11000,nan,1124.326,0.000,-0.004,-0.064,nan,nan,nan
11500,nan,1123.067,0.000,0.000,0.000,nan,nan,nan
12000,nan,1122.828,0.000,0.000,0.000,nan,nan,nan
12500,nan,1123.089,0.000,0.000,0.000,nan,nan,nan
13000,nan,1122.258,0.000,0.000,0.000,nan,nan,nan
13500,nan,1120.010,0.000,0.000,0.000,nan,nan,nan
14000,nan,1118.570,0.000,0.000,0.000,nan,nan,nan
14500,nan,1118.778,0.000,0.000,0.000,nan,nan,nan
15000,nan,1119.896,0.000,0.000,0.000,nan,nan,nan
15500,nan,1121.788,0.000,0.000,0.000,nan,nan,nan
16000,nan,1123.484,0.000,0.000,0.000,nan,nan,nan
16500,nan,1125.837,0.000,0.000,0.000,nan,nan,nan
17000,nan,1125.621,0.000,0.000,0.000,nan,nan,nan
17500,nan,1124.761,0.000,0.000,0.000,nan,nan,nan
18000,nan,1122.959,0.000,0.000,0.000,nan,nan,nan
18500,nan,1123.161,0.000,0.000,0.000,nan,nan,nan
19000,nan,1122.849,0.000,0.000,0.000,nan,nan,nan
19500,nan,1122.279,0.000,0.000,0.000,nan,nan,nan
20000,nan,1123.287,0.000,-0.009,0.000,nan,nan,nan
