#Step,RG,Etotal,Epot,Ekin,Temperature

500,1696386.005,nan,nan,810846023151.471,540533938358.018
1000,3204627.933,nan,nan,386812269633.461,257860498220.782
1500,4228504.091,nan,nan,142300262679.809,94861563378.882
2000,4864314.034,nan,nan,52349308516.726,34897597194.701
2500,5253261.735,nan,nan,19258312366.309,12838160553.629
3000,5490107.965,nan,nan,7084729892.231,4722890464.414
3500,5634059.871,nan,nan,2606305203.437,1737440125.440
4000,5721472.184,nan,nan,958828745.503,639183597.403
4500,5774525.612,nan,nan,352728965.957,235139560.037
5000,5806716.651,nan,nan,129763056.732,86503891.128
5500,5826246.558,nan,nan,47739877.859,31824814.403
6000,5838094.007,nan,nan,17563876.786,11708599.686
6500,5845280.330,nan,nan,6460070.001,4306473.708
7000,5849639.549,nan,nan,2377416.256,1584855.984
7500,5852283.658,nan,nan,874522.292,582982.423
8000,5853887.199,nan,nan,321957.707,214626.529
8500,5854860.338,nan,nan,118584.095,79051.665
9000,5855450.226,nan,nan,43715.540,29142.072
9500,5855808.832,nan,nan,16332.670,10887.841
10000,5856026.556,nan,nan,6082.378,4054.693
10500,5856158.354,nan,nan,2344.647,1563.011
11000,5856238.446,nan,nan,979.882,653.218
11500,5856287.312,nan,nan,477.153,318.084
12000,5856317.382,nan,nan,289.807,193.194
12500,5856335.398,nan,nan,213.584,142.381
13000,5856346.633,nan,nan,191.804,127.862
13500,5856353.455,nan,nan,198.340,132.219
14000,5856357.742,nan,nan,193.224,128.809
14500,5856360.339,nan,nan,186.749,124.493
15000,5856362.271,nan,nan,186.244,124.156
15500,5856363.914,nan,nan,188.444,125.623
16000,5856365.603,nan,nan,183.351,122.227
16500,5856367.148,nan,nan,186.849,124.559
17000,5856367.818,nan,nan,182.562,121.701
17500,5856367.543,nan,nan,177.776,118.511
18000,5856367.757,nan,nan,181.215,120.804
18500,5856368.093,nan,nan,184.809,123.199
19000,5856368.544,nan,nan,182.754,121.829
19500,5856368.419,nan,nan,179.919,119.939
20000,5856368.230,nan,nan,179.081,119.381
